mawk 1.3.3-17
mime-support 3.62
mount 2.33.1-0.1
multiarch-support 2.28-10+rpi1
nano 3.2-3
ncdu 1.13-1
ncurses-base 6.1+20181013-2+deb10u2
ncurses-bin 6.1+20181013-2+deb10u2
ncurses-term 6.1+20181013-2+deb10u2
net-tools 1.60+git20180626.aebd88e-1
netbase 5.6
netcat-openbsd 1.195-2
netcat-traditional 1.10-41.1
nfs-common 1:1.3.4-2.5
ntfs-3g 1:2017.3.23AR.3-3
ntp 1:4.2.8p12+dfsg-4
ntpdate 1:4.2.8p12+dfsg-4
openresolv 3.8.0-1
openssh-client 1:7.9p1-10+deb10u2
openssh-server 1:7.9p1-10+deb10u2
openssh-sftp-server 1:7.9p1-10+deb10u2
openssl 1.1.1d-0+deb10u2+rpt1
parted 3.2-25
passwd 1:4.5-1.1
patch 2.7.6-3+deb10u1
paxctld 1.2.1-1
pciutils 1:3.5.2-1
perl 5.28.1-6
perl-base 5.28.1-6
perl-modules-5.28 5.28.1-6
pi-bluetooth 0.1.12
pigz 2.4-1
pinentry-curses 1.1.0-2
pkg-config 0.29-6
policykit-1 0.105-25
procps 2:3.3.15-2
psmisc 23.2-1
publicsuffix 20190415.1030-1
pv 1.6.6-1
python 2.7.16-1
python-apt-common 1.8.4.1
python-minimal 2.7.16-1
python-rpi.gpio 0.7.0~buster-1
python2 2.7.16-1
python2-minimal 2.7.16-1
python2.7 2.7.16-2+deb10u1
python2.7-minimal 2.7.16-2+deb10u1
python3 3.7.3-1
python3-apt 1.8.4.1
python3-certifi 2018.8.24-1
python3-chardet 3.0.4-3
python3-debconf 1.5.71
python3-idna 2.6-1
python3-minimal 3.7.3-1
python3-pkg-resources 40.8.0-1
python3-requests 2.21.0-1
python3-six 1.12.0-1
python3-urllib3 1.24.1-1
python3.7 3.7.3-2+deb10u1
python3.7-minimal 3.7.3-2+deb10u1
rake 12.3.1-3
raspberrypi-bootloader 1.20200212-1
raspberrypi-kernel 1.20200212-1
raspberrypi-net-mods 1.3.0
raspberrypi-sys-mods 20191105
raspbian-archive-keyring 20120528.2
raspi-config 20200207
raspi-copies-and-fills 0.13
readline-common 7.0-5
rfkill 2.33.1-0.1
rng-tools 2-unofficial-mt.14-1
rpcbind 1.2.5-0.3+deb10u1
rpi-eeprom 4.0-1
rpi-eeprom-images 4.0-1
rpi-update 20140705
rsync 3.1.3-6
rsyslog 8.1901.0-1
ruby 1:2.5.1+b1
ruby-did-you-mean 1.2.1-1
ruby-minitest 5.11.3-1
ruby-net-telnet 0.1.1-2
ruby-power-assert 1.1.1-1
ruby-test-unit 3.2.8-1
ruby-xmlrpc 0.3.0-2
ruby2.5 2.5.5-3+deb10u1
